,channel_name,Normal,Volatile,view_multiplier
0,Andrei Jikh,3044.410714285714,20586.942307692305,6.7622092548450565
1,Ben Felix,137.39239332096474,692.135294117647,5.03765366762873
2,Brian Jung,77.57519788918206,196.5009416195857,2.5330382257005875
3,Graham Stephan,1566.7906976744187,3206.609523809524,2.0466100089623214
4,Nischa,764.3584905660377,1429.5087719298247,1.8702072255012394
5,The Plain Bagel,434.7917940647482,511.0898296435861,1.1754817745421289
6,Patrick Boyle,1899.3611940298508,2007.2560296846011,1.0568058545125012
7,Minority Mindset,1630.9248844375963,1661.0303630363037,1.0184591447993565
8,I Will Teach You To Be Rich,383.09090909090907,380.9423076923077,0.9943914059362565
9,Two Cents,195.43778855706856,177.438758356842,0.907904042851105
10,The Ramsey Show,2481.6428571428573,1884.5192307692307,0.7593837386169654
11,Marko - WhiteBoard Finance,82.09232440882658,51.78994478349317,0.6308743863259973
12,Humphrey Yang,2008.9026548672566,1072.7623762376238,0.5340041607484008
13,ClearValue Tax,1953.4822695035461,1025.7025572005384,0.5250636635986505
14,Mark Tilbury,19542.344155844155,9949.75294117647,0.5091381495398026
15,Financial Education,1595.4759615384614,528.7612804878049,0.3314128781846008
16,Meet Kevin,6329.0,,
